risk_id,cik,ticker,company,fiscal_year,heading,filer_category,category,category_source,yoy_label,similarity,review,chars,caveat,source_url
1015328_FY2021_000,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Economic Conditions and Operating Environment,RISK FACTORS,financial,llm,,,,352,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_001,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Competition and Reputation,RISK FACTORS,strategic,llm,,,,280,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_002,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Growth and Acquisitions,RISK FACTORS,strategic,llm,,,,341,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_003,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Legal and Regulatory Risks,RISK FACTORS,regulatory,llm,,,,1074,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_004,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Lending Operations,RISK FACTORS,financial,llm,,,,779,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_005,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Our Niche Businesses,RISK FACTORS,financial,llm,,,,360,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_006,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to Financial Strength and Liquidity,RISK FACTORS,financial,llm,,,,536,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_007,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risks Related to General Operations,RISK FACTORS,operational,llm,,,,1047,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_008,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,Risk Factors,RISK FACTORS,strategic,llm,,,,986,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
1015328_FY2021_009,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,"The COVID-19 pandemic is adversely affecting us and our customers, employees and third-party service providers, and the adverse impact on our business, financial condition, results of operations and cash flows could be material.",Risks Related to Economic Conditions and Operating Environment,financial,llm,,,,5191,,https://www.sec.gov/Archives/edgar/data/1015328/000101532822000057/wtfc-20211231.htm
