cik,ticker,fiscal_year,section_chars,n_blocks,n_bold_blocks,strategy
101382,UMBF,2021,50322,173,133,bold
101382,UMBF,2022,53022,152,105,bold
101382,UMBF,2023,50664,85,29,bold
101382,UMBF,2024,89542,159,38,bold
101382,UMBF,2025,87339,154,34,bold
1015328,WTFC,2021,108356,282,65,bold
1015328,WTFC,2022,111836,276,65,bold
1015328,WTFC,2023,114444,278,65,bold
1015328,WTFC,2024,110707,275,65,bold
1015328,WTFC,2025,115925,276,66,bold
1068851,PB,2021,67733,226,44,bold
1068851,PB,2022,71023,225,46,bold
1068851,PB,2023,79407,246,47,bold
1068851,PB,2024,78209,208,48,bold
1068851,PB,2025,81650,215,49,bold
1069157,EWBC,2021,67988,176,49,bold
1069157,EWBC,2022,63553,172,49,bold
1069157,EWBC,2023,68502,175,51,bold
1069157,EWBC,2024,62494,161,48,bold
1069157,EWBC,2025,62174,160,46,bold
1077428,TCBI,2021,92002,377,29,bold
1077428,TCBI,2022,93888,390,42,bold
1077428,TCBI,2023,94396,341,12,NEEDS_FALLBACK
1077428,TCBI,2024,89052,323,12,NEEDS_FALLBACK
1077428,TCBI,2025,85927,291,11,NEEDS_FALLBACK
109380,ZION,2021,38362,150,45,bold
109380,ZION,2022,40280,136,47,bold
109380,ZION,2023,45177,143,46,bold
109380,ZION,2024,45879,147,48,bold
109380,ZION,2025,54648,176,50,bold
1108134,BBT,2021,40735,166,42,bold
1108134,BBT,2022,40807,165,42,bold
1108134,BBT,2023,54150,198,51,bold
1108134,BBT,2024,70708,295,67,bold
1108134,BBT,2025,65381,166,57,bold
1169770,BANC,2021,89493,334,55,bold
1169770,BANC,2022,92388,377,57,bold
1169770,BANC,2023,97383,390,62,bold
1169770,BANC,2024,103869,397,62,bold
1169770,BANC,2025,80454,176,49,bold
1178970,PFS,2021,45207,117,29,bold
1178970,PFS,2022,64225,147,41,bold
1178970,PFS,2023,68338,147,39,bold
1178970,PFS,2024,60819,134,39,bold
1178970,PFS,2025,61706,137,42,bold
1212545,WAL,2021,75534,239,61,bold
1212545,WAL,2022,72527,217,62,bold
1212545,WAL,2023,78318,225,62,bold
1212545,WAL,2024,81924,236,64,bold
1212545,WAL,2025,87953,247,65,bold
1281761,RF,2021,98179,202,51,bold
1281761,RF,2022,116355,345,75,bold
1281761,RF,2023,117969,347,75,bold
1281761,RF,2024,123397,349,75,bold
1281761,RF,2025,122266,249,62,bold
1331520,HOMB,2021,65647,195,39,bold
1331520,HOMB,2022,53886,157,33,bold
1331520,HOMB,2023,54950,156,34,bold
1331520,HOMB,2024,54380,147,33,bold
1331520,HOMB,2025,58006,155,37,bold
1488813,CUBI,2021,166426,483,92,bold
1488813,CUBI,2022,178945,480,92,bold
1488813,CUBI,2023,185003,484,97,bold
1488813,CUBI,2024,185781,501,97,bold
1488813,CUBI,2025,169399,442,82,bold
1504008,BKU,2021,69883,227,48,bold
1504008,BKU,2022,69650,228,50,bold
1504008,BKU,2023,77512,157,52,bold
1504008,BKU,2024,81320,150,52,bold
1504008,BKU,2025,79363,146,50,bold
1518715,MCHB,2021,313193,10520,228,bold
1518715,MCHB,2022,303609,10073,222,bold
1518715,MCHB,2023,70702,157,50,bold
1518715,MCHB,2024,47384,97,33,bold
1518715,MCHB,2025,95714,992,152,bold
1810546,EBC,2021,155314,434,93,bold
1810546,EBC,2022,137842,401,87,bold
1810546,EBC,2023,122009,353,79,bold
1810546,EBC,2024,121793,351,78,bold
1810546,EBC,2025,120617,350,76,bold
203596,WSBC,2021,57315,187,42,bold
203596,WSBC,2022,56497,181,41,bold
203596,WSBC,2023,53288,182,40,bold
203596,WSBC,2024,58742,213,45,bold
203596,WSBC,2025,53088,182,40,bold
22356,CBSH,2021,35623,101,8,NEEDS_FALLBACK
22356,CBSH,2022,31498,83,8,NEEDS_FALLBACK
22356,CBSH,2023,34168,86,9,NEEDS_FALLBACK
22356,CBSH,2024,34037,85,9,NEEDS_FALLBACK
22356,CBSH,2025,38994,92,9,NEEDS_FALLBACK
351569,ABCB,2021,49189,174,33,bold
351569,ABCB,2022,46476,155,32,bold
351569,ABCB,2023,48229,157,33,bold
351569,ABCB,2024,66404,180,43,bold
351569,ABCB,2025,67877,179,44,bold
35527,FITB,2021,110702,350,83,bold
35527,FITB,2022,106652,351,83,bold
35527,FITB,2023,95333,230,72,bold
35527,FITB,2024,93525,201,71,bold
35527,FITB,2025,81352,200,68,bold
36270,MTB,2021,108235,366,24,bold
36270,MTB,2022,92768,293,21,bold
36270,MTB,2023,85456,278,19,NEEDS_FALLBACK
36270,MTB,2024,89679,287,18,NEEDS_FALLBACK
36270,MTB,2025,90080,286,18,NEEDS_FALLBACK
36377,FHB,2021,116863,540,81,bold
36377,FHB,2022,113195,509,80,bold
36377,FHB,2023,118145,516,81,bold
36377,FHB,2024,122222,513,79,bold
36377,FHB,2025,121816,520,80,bold
36966,FHN,2021,125440,787,241,bold
36966,FHN,2022,116507,725,229,bold
36966,FHN,2023,107662,701,213,bold
36966,FHN,2024,109664,698,216,bold
36966,FHN,2025,74544,353,163,bold
37808,FNB,2021,74032,251,64,bold
37808,FNB,2022,77599,202,60,bold
37808,FNB,2023,81899,185,61,bold
37808,FNB,2024,79228,181,60,bold
37808,FNB,2025,77430,189,60,bold
39263,CFR,2021,72139,148,6,NEEDS_FALLBACK
39263,CFR,2022,70986,147,5,NEEDS_FALLBACK
39263,CFR,2023,69912,139,5,NEEDS_FALLBACK
39263,CFR,2024,73502,145,5,NEEDS_FALLBACK
39263,CFR,2025,75190,156,5,NEEDS_FALLBACK
40729,ALLY,2021,103063,245,5,NEEDS_FALLBACK
40729,ALLY,2022,104286,244,5,NEEDS_FALLBACK
40729,ALLY,2023,107062,223,5,NEEDS_FALLBACK
40729,ALLY,2024,131183,346,10,NEEDS_FALLBACK
40729,ALLY,2025,131454,348,10,NEEDS_FALLBACK
46195,BOH,2021,45159,120,5,NEEDS_FALLBACK
46195,BOH,2022,44434,119,5,NEEDS_FALLBACK
46195,BOH,2023,44827,103,6,NEEDS_FALLBACK
46195,BOH,2024,55078,127,16,NEEDS_FALLBACK
46195,BOH,2025,61930,134,17,NEEDS_FALLBACK
49196,HBAN,2021,79944,287,77,bold
49196,HBAN,2022,68849,193,53,bold
49196,HBAN,2023,64297,173,49,bold
49196,HBAN,2024,70797,199,52,bold
49196,HBAN,2025,86290,299,63,bold
700564,FULT,2021,80486,150,44,bold
700564,FULT,2022,65109,136,40,bold
700564,FULT,2023,59268,120,39,bold
700564,FULT,2024,60848,131,39,bold
700564,FULT,2025,65878,138,43,bold
707179,ONB,2021,62517,198,44,bold
707179,ONB,2022,74948,193,46,bold
707179,ONB,2023,78577,191,47,bold
