cik,ticker,name,fiscal_year,accession,doc_chars,n_candidates,ok,section_chars,start_pct,stop_by,score,why,n_bold_blocks,n_italic_blocks,n_styled_blocks,reason
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2021,0000798941-22-000014,628466,5,True,96485,27.7,item\s*2\b,60,names_section;plausible_len,20,70,89,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2022,0000798941-23-000017,723851,4,True,101712,23.6,item\s*2\b,60,names_section;plausible_len,20,72,91,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2023,0000798941-24-000018,907292,2,True,116769,31.6,item\s*1\s*c\b,60,names_section;plausible_len,20,74,93,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2024,0000798941-25-000010,828069,3,True,119031,29.2,item\s*1\s*c\b,100,names_section;opener;plausible_len,18,85,103,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2025,0000798941-26-000015,773220,5,True,99729,27.3,item\s*1\s*c\b,100,names_section;opener;plausible_len,17,48,65,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2021,0000759944-22-000025,662500,5,True,72824,29.7,item\s*1\s*b\b,130,names_section;allcaps;opener;plausible_len,46,41,47,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2022,0000759944-23-000029,650234,5,True,71367,29.2,item\s*1\s*b\b,130,names_section;allcaps;opener;plausible_len,42,38,43,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2023,0000759944-24-000039,672117,5,True,62818,31.2,item\s*1\s*b\b,130,names_section;allcaps;opener;plausible_len,41,36,41,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2024,0000759944-25-000013,662505,5,True,61452,31.5,item\s*1\s*b\b,130,names_section;allcaps;opener;plausible_len,41,36,41,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2025,0000759944-26-000028,674661,5,True,60671,31.7,item\s*1\s*b\b,130,names_section;allcaps;opener;plausible_len,41,36,41,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2021,0000049196-22-000023,718836,6,True,79944,30.8,item\s*1\s*b\b,60,names_section;plausible_len,77,27,121,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2022,0000049196-23-000020,687058,6,True,68849,32.2,item\s*1\s*b\b,60,names_section;plausible_len,53,7,78,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2023,0000049196-24-000020,706865,5,True,64297,31.7,item\s*1\s*b\b,60,names_section;plausible_len,49,7,74,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2024,0000049196-25-000020,708879,5,True,70797,32.9,item\s*1\s*b\b,60,names_section;plausible_len,52,7,94,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2025,0000049196-26-000015,766954,5,True,86290,32.3,item\s*1\s*b\b,60,names_section;plausible_len,63,8,100,
35527,FITB,FIFTH THIRD BANCORP,2021,0000035527-22-000119,1094904,6,True,110702,21.0,item\s*1\s*b\b,85,names_section;allcaps;plausible_len,83,64,101,
35527,FITB,FIFTH THIRD BANCORP,2022,0000035527-23-000122,1047637,6,True,106652,22.3,item\s*1\s*b\b,85,names_section;allcaps;plausible_len,83,64,100,
35527,FITB,FIFTH THIRD BANCORP,2023,0000035527-24-000088,1075029,3,True,95333,22.9,item\s*1\s*b\b,85,names_section;allcaps;plausible_len,72,62,87,
