flagged,cik,ticker,name,fiscal_year,section_chars,n_risks,n_categories,furniture_dropped,summary_runs_dropped,has_risk_summary,short_bodies,median_risk_chars
,1015328,WTFC,WINTRUST FINANCIAL CORP,2021,108356,59,10,43,2,True,0,1289
,1015328,WTFC,WINTRUST FINANCIAL CORP,2022,111836,60,10,42,2,True,0,1374.0
,1015328,WTFC,WINTRUST FINANCIAL CORP,2023,114444,60,10,42,2,True,0,1413.0
,1015328,WTFC,WINTRUST FINANCIAL CORP,2024,110707,60,10,42,2,True,0,1344.5
,1015328,WTFC,WINTRUST FINANCIAL CORP,2025,115925,61,10,42,2,True,0,1370
,1068851,PB,PROSPERITY BANCSHARES INC,2021,67733,40,10,58,0,False,0,1406.0
,1068851,PB,PROSPERITY BANCSHARES INC,2022,71023,42,10,58,0,False,0,1410.5
,1068851,PB,PROSPERITY BANCSHARES INC,2023,79407,44,9,65,0,False,0,1595.5
,1068851,PB,PROSPERITY BANCSHARES INC,2024,78209,45,9,45,0,False,0,1616
,1068851,PB,PROSPERITY BANCSHARES INC,2025,81650,46,9,47,0,False,0,1607.0
,1069157,EWBC,EAST WEST BANCORP INC,2021,67988,36,11,36,0,False,0,1463.0
,1069157,EWBC,EAST WEST BANCORP INC,2022,63553,39,9,36,0,False,0,1371
,1069157,EWBC,EAST WEST BANCORP INC,2023,68502,40,9,36,0,False,0,1463.5
,1069157,EWBC,EAST WEST BANCORP INC,2024,62494,38,9,34,0,False,0,1429.5
,1069157,EWBC,EAST WEST BANCORP INC,2025,62174,36,9,34,0,False,0,1594.5
,109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",2021,38362,31,11,13,0,False,0,1008
,109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",2022,40280,33,11,19,0,False,0,992
,109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",2023,45177,33,11,20,0,False,0,1139
,109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",2024,45879,35,11,20,0,False,0,1178
,109380,ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",2025,54648,38,11,24,0,False,0,1211.0
,1169770,BANC,"BANC OF CALIFORNIA, INC.",2021,89493,46,5,92,10,True,0,1414.0
,1169770,BANC,"BANC OF CALIFORNIA, INC.",2022,92388,54,7,80,13,True,0,1283.5
,1169770,BANC,"BANC OF CALIFORNIA, INC.",2023,97383,57,6,107,4,True,0,1418
,1169770,BANC,"BANC OF CALIFORNIA, INC.",2024,103869,56,5,110,4,True,0,1517.5
,1169770,BANC,"BANC OF CALIFORNIA, INC.",2025,80454,46,5,18,0,False,0,1563.5
,1178970,PFS,PROVIDENT FINANCIAL SERVICES INC,2021,45207,21,3,23,0,False,0,1896
,1178970,PFS,PROVIDENT FINANCIAL SERVICES INC,2022,64225,33,4,22,0,False,0,1641
,1178970,PFS,PROVIDENT FINANCIAL SERVICES INC,2023,68338,29,4,23,0,False,0,2303
,1178970,PFS,PROVIDENT FINANCIAL SERVICES INC,2024,60819,30,5,17,0,False,0,1873.0
,1178970,PFS,PROVIDENT FINANCIAL SERVICES INC,2025,61706,32,6,18,0,False,0,1532.5
,1212545,WAL,WESTERN ALLIANCE BANCORPORATION,2021,75534,40,7,68,0,False,0,1573.0
,1212545,WAL,WESTERN ALLIANCE BANCORPORATION,2022,72527,41,7,59,0,False,0,1537
,1212545,WAL,WESTERN ALLIANCE BANCORPORATION,2023,78318,41,7,61,0,False,0,1541
,1212545,WAL,WESTERN ALLIANCE BANCORPORATION,2024,81924,42,7,65,0,False,0,1709.0
,1212545,WAL,WESTERN ALLIANCE BANCORPORATION,2025,87953,43,7,66,0,False,0,1970
