verdict,ticker,fiscal_year,new_heading,top_prior_sim,top_prior_heading,curr_id
,ABCB,2023,We are subject to liquidity risk.,0.1384,We are subject to industry competition which may have an impact upon our success.,351569_FY2023_005
,ASB,2023,The proportion of our deposit account balances that exceed FDIC insurance limits may expose the Bank to enhanced liquidity risk in times of financial distress.,0.0687,CRE lending may expose us to increased lending risks.,7789_FY2023_010
,ASB,2023,We will experience increases in FDIC insurance assessments due to the bank failures that occurred in 2023.,0.056,"Acquisitions may be delayed, impeded, or prohibited due to regulatory issues.",7789_FY2023_046
,BANC,2023,Funding and Liquidity Risks,0.0593,Liquidity risk could impair our ability to fund operations and jeopardize our financial condition.,1169770_FY2023_001
,BKU,2023,"A significant percentage of our deposits are commercial deposits, many of which are uninsured.",0.074,Loss of deposits or a change in deposit mix could increase our funding costs.,1504008_FY2023_019
,BOH,2023,We have experienced increases in FDIC insurance assessments due to the bank failures that occurred in 2023.,0.0566,Climate change and the governmental responses to it could have a material adverse impact on the Bank and its customers,46195_FY2023_027
,EWBC,2023,The proportion of our deposit account balances that exceed FDIC insurance limits may expose us to enhanced liquidity risk.,0.0784,"We are subject to liquidity risk, which could negatively affect our funding levels.",1069157_FY2023_015
,FCNCA,2023,"Deposit insurance premiums levied against banks, including FCB, may increase if the number of bank failures increase or the cost of resolving failed banks increases.",0.0611,"The CFPB has reshaped the consumer financial laws through rulemaking and enforcement of the prohibitions against unfair, deceptive and abusive business practices. Compliance with any such change may impact the business operations of depository institutions offering consumer financial products or ser",798941_FY2023_017
,FITB,2023,Recent bank failures have created significant market volatility and regulatory uncertainty which could have a material adverse effect on Fifth Third’s business and financial condition.,0.1797,"Societal responses to climate change could adversely affect Fifth Third’s business and performance, including indirectly through impacts on Fifth Third’s customers.",35527_FY2023_044
,FLG,2023,"As a Category IV banking organization with over $100 billion in assets, we are subject to stringent regulations, including reporting, capital stress testing, and liquidity risk management. Non-compliance could result in regulatory risks and restrictions on our activities.",0.0619,Failure to comply with OFAC regulations could result in legal and reputational risks.,910073_FY2023_016
,FNB,2023,We have experienced increases in our FDIC insurance assessments due to the bank failures that occurred in 2023.,0.0387,We have outstanding securities senior to common stock which could limit our ability to pay dividends on our common stock.,37808_FY2023_033
,FNB,2023,The proportion of our deposit account balances that exceed FDIC insurance limits may expose FNBPA to enhanced liquidity risk in times of financial distress.,0.0622,Liquidity risk could impair our ability to fund operations and meet our obligations as they become due.,37808_FY2023_032
,INDB,2023,"During 2023, events impacting the financial services industry, including several high profile bank failures, resulted in decreased confidence in banks among depositors, investors and other counterparties, as well as competition for deposits, significant disruption, volatility and depressed valuation",0.0595,Changes in interest rates and other factors could adversely impact the Company’s financial condition and results of operations.,776901_FY2023_001
,RNST,2023,"Our business, financial condition and results of operations could be materially affected by adverse developments impacting the financial services industry, such as recent bank failures or concerns involving liquidity and the increased competition for and cost of deposits.",0.1018,Our financial condition and results of operations could be negatively affected if we fail to grow or fail to manage our growth effectively.,715072_FY2023_008
,SFNC,2023,"Our business, financial condition, and results of operations could be adversely affected by developments impacting the financial services industry, such as recent bank failures or concerns involving liquidity.",0.1219,Our business may be adversely affected by conditions in the financial markets and general economic conditions.,90498_FY2023_013
,SSB,2023,Recent regulatory proposals may increase capital and liquidity risks.,0.0717,Capital Requirements,764038_FY2023_040
,UBSI,2023,United is subject to liquidity risk.,0.3168,United is subject to credit risk in its loan portfolio.,729986_FY2023_016
,UCB,2023,The proportion of our deposit account balances that exceed FDIC insurance limits may expose us to enhanced liquidity risk in times of financial distress.,0.052,"Liquidity is essential to our business model and a lack of liquidity, or an increase in the cost of liquidity could materially impair our ability to fund our operations and jeopardize our results of operation, financial condition and cash flows.",857855_FY2023_028
,WBS,2023,The proportion of our deposit account balances that exceed the FDIC insurance limits may expose the Bank to enhanced liquidity risk in times of financial distress.,0.0329,The preparation of our consolidated financial statements requires the use of estimates that may vary from actual results.,801337_FY2023_022
