cik,name,sic,assets,reason,detail,ticker,sic_description,state,total_assets_usd
2082866,"Pinnacle Financial Partners, Inc.",6021,57706000000.0,incomplete_10k_history,"missing FY 2021,2022,2023,2024",,,,
1299709,"Axos Financial, Inc.",6035,28201406000.0,incomplete_10k_history,missing FY 2025,,,,
2065601,"Central Bancompany, Inc.",6022,20751978000.0,incomplete_10k_history,"missing FY 2021,2022,2023,2024",,,,
828944,WSFS FINANCIAL CORP,6021,,below_size_rank_cutoff,,WSFS,National Commercial Banks,DE,21314076000
708955,FIRST FINANCIAL BANCORP /OH/,6021,,below_size_rank_cutoff,,FFBC,National Commercial Banks,OH,21129379000
730708,SEACOAST BANKING CORP OF FLORIDA,6022,,below_size_rank_cutoff,,SBCF,State Commercial Banks,FL,20842331000
1629019,Merchants Bancorp,6022,,below_size_rank_cutoff,,MBIN,State Commercial Banks,IN,19448943000
1057706,FIRST BANCORP /PR/,6022,,below_size_rank_cutoff,,FBP,State Commercial Banks,PR,19132892000
712534,FIRST MERCHANTS CORP,6021,,below_size_rank_cutoff,,FRME,National Commercial Banks,IN,19025101000
36146,TRUSTMARK CORP,6021,,below_size_rank_cutoff,,TRMK,National Commercial Banks,MS,18925211000
1128361,HOPE BANCORP INC,6021,,below_size_rank_cutoff,,HOPE,National Commercial Banks,DE,18531626000
314489,FIRST BUSEY CORP /NV/,6022,,below_size_rank_cutoff,,BUSE,State Commercial Banks,NV,18104736000
1430723,"ServisFirst Bancshares, Inc.",6022,,below_size_rank_cutoff,,SFBS,State Commercial Banks,DE,17727190000
1381668,TFS Financial CORP,6035,,below_size_rank_cutoff,,TFSL,"Savings Institution, Federally Chartered",DE,17498683000
723188,"COMMUNITY FINANCIAL SYSTEM, INC.",6021,,below_size_rank_cutoff,,CBU,National Commercial Banks,DE,17303296000
1025835,ENTERPRISE FINANCIAL SERVICES CORP,6022,,below_size_rank_cutoff,,EFSC,State Commercial Banks,DE,17300884000
1471265,"Northwest Bancshares, Inc.",6021,,below_size_rank_cutoff,,NWBI,National Commercial Banks,MD,16766617000
315709,INTERNATIONAL BANCSHARES CORP,6022,,below_size_rank_cutoff,,IBOC,State Commercial Banks,TX,16576335000
946673,BANNER CORP,6022,,below_size_rank_cutoff,,BANR,State Commercial Banks,WA,16354488000
1649749,FB Financial Corp,6022,,below_size_rank_cutoff,,FBK,State Commercial Banks,TN,16300292000
790359,NBT BANCORP INC,6021,,below_size_rank_cutoff,,NBTB,National Commercial Banks,DE,15995121000
1265131,Hilltop Holdings Inc.,6022,,below_size_rank_cutoff,,HTH,State Commercial Banks,MD,15844994000
354647,CVB FINANCIAL CORP,6022,,below_size_rank_cutoff,,CVBF,State Commercial Banks,CA,15631054000
36029,FIRST FINANCIAL BANKSHARES INC,6022,,below_size_rank_cutoff,,FFIN,State Commercial Banks,TX,15446476000
846617,"Dime Commercial Bancshares, Inc. /NY/",6021,,below_size_rank_cutoff,,DCOM,National Commercial Banks,NY,15341631000
1462120,"Live Oak Bancshares, Inc.",6022,,below_size_rank_cutoff,,LOB,State Commercial Banks,NC,15134778000
760498,BANCFIRST CORP /OK/,6021,,below_size_rank_cutoff,,BANF,National Commercial Banks,OK,14838893000
1004702,OCEANFIRST FINANCIAL CORP,6021,,below_size_rank_cutoff,,OCFC,National Commercial Banks,DE,14564317000
712771,"ConnectOne Bancorp, Inc.",6022,,below_size_rank_cutoff,,CNOB,State Commercial Banks,NJ,14002700000
811589,FIRST BANCORP /NC/,6022,,below_size_rank_cutoff,,FBNC,State Commercial Banks,NC,12668339000
1030469,OFG BANCORP,6022,,below_size_rank_cutoff,,OFG,State Commercial Banks,PR,12465657000
712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/,6021,,below_size_rank_cutoff,,FCF,National Commercial Banks,PA,12343036000
1413837,First Foundation Inc.,6022,,below_size_rank_cutoff,,,State Commercial Banks,CA,11904077000
1723596,"Columbia Financial, Inc.",6035,,below_size_rank_cutoff,,CLBK,"Savings Institution, Federally Chartered",DE,11018793000
1473844,"Stellar Bancorp, Inc.",6021,,below_size_rank_cutoff,,,National Commercial Banks,TX,10806594000
1050441,EAGLE BANCORP INC,6022,,below_size_rank_cutoff,,EGBN,State Commercial Banks,MD,10497203000
