cik,ticker,name,fiscal_year,form,accession,filing_date,report_date,primary_document,is_inline_xbrl,reported_size_bytes,n_amendments,amendment_accessions
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2021,10-K,0000798941-22-000014,2022-02-25,2021-12-31,fcnca-20211231.htm,1,29646664,0,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2022,10-K,0000798941-23-000017,2023-02-24,2022-12-31,fcnca-20221231.htm,1,35518715,0,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2023,10-K,0000798941-24-000018,2024-02-23,2023-12-31,fcnca-20231231.htm,1,41503393,0,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2024,10-K,0000798941-25-000010,2025-02-21,2024-12-31,fcnca-20241231.htm,1,41193098,0,
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,2025,10-K,0000798941-26-000015,2026-02-24,2025-12-31,fcnca-20251231.htm,1,37207242,0,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2021,10-K,0000759944-22-000025,2022-02-23,2021-12-31,cfg-20211231.htm,1,33677822,0,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2022,10-K,0000759944-23-000029,2023-02-17,2022-12-31,cfg-20221231.htm,1,34596439,0,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2023,10-K,0000759944-24-000039,2024-02-16,2023-12-31,cfg-20231231.htm,1,33024505,0,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2024,10-K,0000759944-25-000013,2025-02-13,2024-12-31,cfg-20241231.htm,1,32325259,0,
759944,CFG,CITIZENS FINANCIAL GROUP INC/RI,2025,10-K,0000759944-26-000028,2026-02-12,2025-12-31,cfg-20251231.htm,1,32460337,0,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2021,10-K,0000049196-22-000023,2022-02-18,2021-12-31,hban-20211231.htm,1,38755771,0,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2022,10-K,0000049196-23-000020,2023-02-17,2022-12-31,hban-20221231.htm,1,37381679,0,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2023,10-K,0000049196-24-000020,2024-02-16,2023-12-31,hban-20231231.htm,1,34041061,0,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2024,10-K,0000049196-25-000020,2025-02-14,2024-12-31,hban-20241231.htm,1,36424667,0,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,2025,10-K,0000049196-26-000015,2026-02-13,2025-12-31,hban-20251231.htm,1,47834807,0,
35527,FITB,FIFTH THIRD BANCORP,2021,10-K,0000035527-22-000119,2022-02-25,2021-12-31,fitb-20211231.htm,1,62606680,0,
35527,FITB,FIFTH THIRD BANCORP,2022,10-K,0000035527-23-000122,2023-02-24,2022-12-31,fitb-20221231.htm,1,70083139,0,
35527,FITB,FIFTH THIRD BANCORP,2023,10-K,0000035527-24-000088,2024-02-27,2023-12-31,fitb-20231231.htm,1,64354896,0,
35527,FITB,FIFTH THIRD BANCORP,2024,10-K,0000035527-25-000079,2025-02-24,2024-12-31,fitb-20241231.htm,1,73507110,0,
