cik,name,ticker,sic,sic_description,state,total_assets_usd
798941,FIRST CITIZENS BANCSHARES INC /DE/,FCNCA,6022,State Commercial Banks,DE,229698000000
759944,CITIZENS FINANCIAL GROUP INC/RI,CFG,6022,State Commercial Banks,DE,226351000000
49196,HUNTINGTON BANCSHARES INC /MD/,HBAN,6021,National Commercial Banks,MD,225106000000
35527,FIFTH THIRD BANCORP,FITB,6022,State Commercial Banks,OH,214376000000
36270,M&T BANK CORP,MTB,6022,State Commercial Banks,NY,213510000000
40729,Ally Financial Inc.,ALLY,6022,State Commercial Banks,DE,196002000000
91576,KEYCORP /NEW/,KEY,6021,National Commercial Banks,OH,184381000000
73124,NORTHERN TRUST CORP,NTRS,6022,State Commercial Banks,DE,177132700000
83246,HSBC USA INC /MD/,,6021,National Commercial Banks,MD,172410000000
811830,"Santander Holdings USA, Inc.",,6021,National Commercial Banks,VA,164572121000
1281761,REGIONS FINANCIAL CORP,RF,6021,National Commercial Banks,DE,158814000000
1212545,WESTERN ALLIANCE BANCORPORATION,WAL,6022,State Commercial Banks,DE,92774000000
109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION,6021,National Commercial Banks,UT,88690000000
910073,"FLAGSTAR BANK, NATIONAL ASSOCIATION",FLG,6036,"Savings Institutions, Not Federally Chartered",,87512000000
801337,WEBSTER FINANCIAL CORP,WBS,6021,National Commercial Banks,DE,84073663000
36966,FIRST HORIZON CORP,FHN,6021,National Commercial Banks,TN,83876000000
1069157,EAST WEST BANCORP INC,EWBC,6022,State Commercial Banks,DE,80434997000
763901,"POPULAR, INC.",BPOP,6022,State Commercial Banks,,75348267000
101382,UMB FINANCIAL CORP,UMBF,6021,National Commercial Banks,MO,73094090000
707179,OLD NATIONAL BANCORP /IN/,ONB,6021,National Commercial Banks,IN,72151967000
1015328,WINTRUST FINANCIAL CORP,WTFC,6022,State Commercial Banks,IL,71142046000
764038,SouthState Bank Corp,SSB,6022,State Commercial Banks,FL,67197412000
887343,"COLUMBIA BANKING SYSTEM, INC.",COLB,6022,State Commercial Banks,WA,66832000000
714310,VALLEY NATIONAL BANCORP,VLY,6021,National Commercial Banks,NJ,64132725000
39263,"CULLEN/FROST BANKERS, INC.",CFR,6021,National Commercial Banks,TX,53041424000
875357,BOK FINANCIAL CORP,BOKF,6021,National Commercial Banks,OK,52237501000
37808,FNB CORP/PA/,FNB,6021,National Commercial Banks,PA,50229000000
7789,ASSOCIATED BANC-CORP,ASB,6022,State Commercial Banks,WI,45202596000
1068851,PROSPERITY BANCSHARES INC,PB,6022,State Commercial Banks,TX,38463425000
883948,Atlantic Union Bankshares Corp,AUB,6022,State Commercial Banks,VA,37585754000
750577,HANCOCK WHITNEY CORP,HWC,6022,State Commercial Banks,MS,35472762000
1504008,"BankUnited, Inc.",BKU,6035,"Savings Institution, Federally Chartered",DE,35039451000
1169770,"BANC OF CALIFORNIA, INC.",BANC,6021,National Commercial Banks,MD,34797442000
729986,UNITED BANKSHARES INC/WV,UBSI,6022,State Commercial Banks,WV,33660281000
22356,COMMERCE BANCSHARES INC /MO/,CBSH,6022,State Commercial Banks,MO,32915089000
700564,FULTON FINANCIAL CORP,FULT,6021,National Commercial Banks,PA,32118400000
868671,"GLACIER BANCORP, INC.",GBCI,6022,State Commercial Banks,MT,31978063000
1077428,TEXAS CAPITAL BANCSHARES INC/TX,TCBI,6022,State Commercial Banks,,31540274000
1810546,"Eastern Bankshares, Inc.",EBC,6035,"Savings Institution, Federally Chartered",MA,30586856000
857855,UNITED COMMUNITY BANKS INC,UCB,6022,State Commercial Banks,GA,28002554000
203596,WESBANCO INC,WSBC,6021,National Commercial Banks,WV,27696333000
351569,Ameris Bancorp,ABCB,6022,State Commercial Banks,GA,27515879000
936528,WAFD INC,WAFD,6021,National Commercial Banks,WA,27285744000
715072,RENASANT CORP,RNST,6022,State Commercial Banks,MS,26751426000
860413,FIRST INTERSTATE BANCSYSTEM INC,FIBK,6022,State Commercial Banks,DE,26640600000
1178970,PROVIDENT FINANCIAL SERVICES INC,PFS,6035,"Savings Institution, Federally Chartered",DE,24980710000
776901,INDEPENDENT BANK CORP,INDB,6022,State Commercial Banks,MA,24912896000
1488813,"Customers Bancorp, Inc.",CUBI,6022,State Commercial Banks,PA,24895868000
90498,SIMMONS FIRST NATIONAL CORP,SFNC,6021,National Commercial Banks,AR,24540877000
861842,CATHAY GENERAL BANCORP,CATY,6022,State Commercial Banks,DE,24229575000
46195,BANK OF HAWAII CORP,BOH,6022,State Commercial Banks,DE,24176364000
36377,"FIRST HAWAIIAN, INC.",FHB,6022,State Commercial Banks,DE,23955252000
1108134,Beacon Financial Corp,BBT,6036,"Savings Institutions, Not Federally Chartered",DE,23220372000
1331520,HOME BANCSHARES INC,HOMB,6022,State Commercial Banks,AR,22881879000
1518715,Mechanics Bancorp,MCHB,6022,State Commercial Banks,WA,22351475000
